epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
52,509.676,0.53523,0.38099,0.34345,0.00631,0.27985,1,0.97369,0.995,0.91085,1,0.97369,0.995,0.97672,0.46696,0.42147,0.19335,0.0125,0,0.0016634,0.0016634,0.0016634
53,519.063,0.49062,0.37782,0.30776,0.00553,0.19232,0.96038,1,0.994,0.93618,0.96038,1,0.994,0.95646,0.39886,0.37007,0.17962,0.00969,0,0.0016568,0.0016568,0.0016568
54,528.359,0.49476,0.36215,0.2957,0.00613,0.22335,1,0.9639,0.994,0.90654,1,0.9639,0.994,0.9295,0.49773,0.36371,0.18464,0.01304,0,0.0016502,0.0016502,0.0016502
55,537.635,0.50982,0.33362,0.29777,0.00628,0.17491,0.96546,0.96383,0.9872,0.92027,0.96546,0.96383,0.9872,0.93733,0.43973,0.34519,0.21932,0.01041,0,0.0016436,0.0016436,0.0016436
56,546.969,0.49568,0.34012,0.27258,0.00605,0.15717,0.93511,0.994,0.99203,0.96117,0.93511,0.994,0.99203,0.97426,0.29691,0.28485,0.19444,0.00727,0,0.001637,0.001637,0.001637
57,556.243,0.46694,0.31426,0.28264,0.00548,0.23204,0.99764,1,0.995,0.92355,0.99764,1,0.995,0.97007,0.3799,0.37584,0.16016,0.00982,0,0.0016304,0.0016304,0.0016304
58,565.503,0.49172,0.32861,0.27181,0.00571,0.19794,0.99892,1,0.995,0.94759,0.99892,1,0.995,0.98678,0.36501,0.2645,0.14694,0.00945,0,0.0016238,0.0016238,0.0016238
59,574.866,0.48962,0.37529,0.29103,0.00603,0.17277,0.99674,1,0.995,0.91843,0.99674,1,0.995,0.97434,0.46738,0.32208,0.16028,0.01172,0,0.0016172,0.0016172,0.0016172
60,584.098,0.48119,0.35872,0.27961,0.00618,0.15141,0.99768,1,0.995,0.91689,0.99768,1,0.995,0.96602,0.48555,0.31453,0.14818,0.01211,0,0.0016106,0.0016106,0.0016106
61,593.34,0.51027,0.33882,0.25979,0.00603,0.14325,0.99511,0.96552,0.994,0.92882,0.99511,0.96552,0.994,0.96472,0.4452,0.28518,0.16742,0.01122,0,0.001604,0.001604,0.001604
62,602.615,0.45891,0.3101,0.24738,0.00563,0.12752,0.99829,1,0.995,0.94158,0.99829,1,0.995,0.98007,0.38744,0.29586,0.13826,0.0096,0,0.0015974,0.0015974,0.0015974
63,611.882,0.46133,0.33996,0.24707,0.00564,0.16493,1,0.99885,0.995,0.96636,1,0.99885,0.995,0.96874,0.32099,0.34324,0.10741,0.00767,0,0.0015908,0.0015908,0.0015908
64,621.271,0.42699,0.32017,0.23706,0.00512,0.14379,0.99653,1,0.995,0.96433,0.99653,1,0.995,0.98675,0.28368,0.286,0.1091,0.00679,0,0.0015842,0.0015842,0.0015842
65,630.57,0.45259,0.32907,0.22744,0.00561,0.17223,0.96546,0.96392,0.99203,0.94972,0.96546,0.96392,0.99203,0.98807,0.38019,0.30058,0.18184,0.00889,0,0.0015776,0.0015776,0.0015776
66,639.863,0.43743,0.29959,0.24418,0.00565,0.18087,1,0.9606,0.99306,0.91292,1,0.9606,0.99306,0.95181,0.47128,0.30618,0.18813,0.01267,0,0.001571,0.001571,0.001571
67,649.188,0.47001,0.31319,0.25912,0.00581,0.17826,1,0.99934,0.995,0.90604,1,0.99934,0.995,0.995,0.43846,0.28737,0.14797,0.00944,0,0.0015644,0.0015644,0.0015644
68,658.491,0.47524,0.34804,0.28269,0.00558,0.17764,0.99531,1,0.995,0.95813,0.99531,1,0.995,0.9912,0.33267,0.28756,0.12457,0.00806,0,0.0015578,0.0015578,0.0015578
69,667.736,0.43356,0.32521,0.24136,0.00488,0.12669,1,0.99973,0.995,0.91649,1,0.99973,0.995,0.96525,0.46779,0.30382,0.14415,0.01254,0,0.0015512,0.0015512,0.0015512
70,677.075,0.46141,0.3235,0.24988,0.00539,0.19572,1,0.99979,0.995,0.92188,1,0.99979,0.995,0.95437,0.46545,0.29794,0.13215,0.01259,0,0.0015446,0.0015446,0.0015446
71,686.351,0.48257,0.35088,0.26095,0.00575,0.18223,0.96666,0.9997,0.994,0.95148,0.96666,0.9997,0.994,0.94014,0.36597,0.32162,0.16538,0.00903,0,0.001538,0.001538,0.001538
72,695.714,0.46197,0.36855,0.25797,0.00522,0.18739,1,0.98617,0.995,0.95488,1,0.98617,0.995,0.97049,0.36796,0.31107,0.16792,0.00816,0,0.0015314,0.0015314,0.0015314
73,705.05,0.49998,0.37273,0.27159,0.00566,0.16306,1,0.99654,0.995,0.86768,1,0.99654,0.995,0.91125,0.57935,0.4179,0.23125,0.01467,0,0.0015248,0.0015248,0.0015248
74,714.338,0.45453,0.32507,0.25013,0.00532,0.12158,0.99652,1,0.995,0.93,0.99652,1,0.995,0.97814,0.39094,0.28602,0.13472,0.01004,0,0.0015182,0.0015182,0.0015182
75,723.591,0.47521,0.32777,0.25859,0.00564,0.16207,0.9981,1,0.995,0.93782,0.9981,1,0.995,0.98591,0.33511,0.27064,0.128,0.00817,0,0.0015116,0.0015116,0.0015116
76,732.846,0.42555,0.32821,0.23536,0.00467,0.18212,0.99802,1,0.995,0.94482,0.99802,1,0.995,0.93725,0.43356,0.42599,0.14064,0.0114,0,0.001505,0.001505,0.001505
77,742.164,0.46034,0.3875,0.26431,0.00529,0.16469,1,0.99759,0.995,0.95623,1,0.99759,0.995,0.98673,0.33759,0.26531,0.14264,0.0086,0,0.0014984,0.0014984,0.0014984
78,751.476,0.42956,0.3215,0.23428,0.00507,0.14435,1,0.99903,0.995,0.93384,1,0.99903,0.995,0.98137,0.38111,0.30536,0.14887,0.00957,0,0.0014918,0.0014918,0.0014918
79,760.807,0.48435,0.34387,0.27229,0.0059,0.16748,0.99597,0.96552,0.994,0.92906,0.99597,0.96552,0.994,0.94817,0.43791,0.31736,0.17683,0.01134,0,0.0014852,0.0014852,0.0014852
80,770.208,0.45561,0.35444,0.2434,0.00527,0.15866,1,0.96286,0.994,0.93783,1,0.96286,0.994,0.98206,0.36536,0.28559,0.15242,0.00857,0,0.0014786,0.0014786,0.0014786
81,779.468,0.4629,0.34591,0.25835,0.00568,0.14356,0.96433,1,0.994,0.94722,0.96433,1,0.994,0.95398,0.35678,0.2902,0.16443,0.00957,0,0.001472,0.001472,0.001472
82,788.772,0.43284,0.30979,0.23965,0.00522,0.15447,0.99674,1,0.995,0.92207,0.99674,1,0.995,0.95735,0.41873,0.27154,0.15831,0.01004,0,0.0014654,0.0014654,0.0014654
83,798.102,0.45213,0.32273,0.24978,0.00557,0.19974,0.96589,0.9767,0.994,0.92938,0.96589,0.9767,0.994,0.94498,0.39971,0.39979,0.22088,0.01135,0,0.0014588,0.0014588,0.0014588
84,807.774,0.42905,0.34086,0.23799,0.00533,0.17835,0.9959,1,0.995,0.97561,0.9959,1,0.995,0.98207,0.25609,0.28257,0.13576,0.006,0,0.0014522,0.0014522,0.0014522
85,817.09,0.42634,0.32623,0.23221,0.00485,0.15892,0.99815,1,0.995,0.98785,0.99815,1,0.995,0.9895,0.24726,0.29012,0.08059,0.00574,0,0.0014456,0.0014456,0.0014456
86,826.425,0.42292,0.32385,0.23992,0.00506,0.15705,0.9665,0.995,0.994,0.96287,0.9665,0.995,0.994,0.97613,0.3525,0.29994,0.1562,0.00821,0,0.001439,0.001439,0.001439
87,835.772,0.45071,0.33108,0.23481,0.00462,0.14541,0.99806,1,0.995,0.94928,0.99806,1,0.995,0.9823,0.37635,0.28565,0.10825,0.00954,0,0.0014324,0.0014324,0.0014324
88,845.085,0.44672,0.30868,0.24855,0.00558,0.15491,0.96594,1,0.994,0.95411,0.96594,1,0.994,0.98474,0.3356,0.32085,0.14724,0.00773,0,0.0014258,0.0014258,0.0014258
89,854.391,0.43047,0.31854,0.22952,0.00466,0.1302,1,0.99781,0.995,0.96824,1,0.99781,0.995,0.98205,0.3178,0.2665,0.12202,0.00821,0,0.0014192,0.0014192,0.0014192
90,864.077,0.44361,0.3264,0.24945,0.00537,0.1359,1,0.9994,0.995,0.98472,1,0.9994,0.995,0.98534,0.23568,0.27799,0.09785,0.00556,0,0.0014126,0.0014126,0.0014126
91,873.386,0.42751,0.33197,0.23532,0.00482,0.12238,0.99824,1,0.995,0.95701,0.99824,1,0.995,0.97446,0.28029,0.29752,0.08651,0.00678,0,0.001406,0.001406,0.001406
92,882.677,0.41422,0.31859,0.23107,0.005,0.10161,0.93156,1,0.99065,0.95819,0.93156,1,0.99065,0.96585,0.28068,0.28973,0.16887,0.00714,0,0.0013994,0.0013994,0.0013994
93,891.935,0.41685,0.31162,0.20653,0.00447,0.1222,0.99741,0.96552,0.994,0.96085,0.99741,0.96552,0.994,0.98022,0.2984,0.27143,0.15267,0.00671,0,0.0013928,0.0013928,0.0013928
94,901.334,0.42983,0.29357,0.22146,0.0049,0.10164,0.99712,1,0.995,0.92381,0.99712,1,0.995,0.98645,0.40772,0.29035,0.13233,0.01087,0,0.0013862,0.0013862,0.0013862
95,910.649,0.43431,0.30751,0.24357,0.0052,0.13021,0.99823,1,0.995,0.93402,0.99823,1,0.995,0.98697,0.34736,0.28128,0.10844,0.00808,0,0.0013796,0.0013796,0.0013796
96,920.033,0.44686,0.33792,0.24012,0.00509,0.14951,0.99835,1,0.995,0.97625,0.99835,1,0.995,0.97618,0.30474,0.27678,0.10115,0.00736,0,0.001373,0.001373,0.001373
97,929.477,0.41911,0.30395,0.22277,0.00502,0.12919,0.96655,0.99639,0.994,0.94841,0.96655,0.99639,0.994,0.93743,0.40333,0.30235,0.15827,0.01,0,0.0013664,0.0013664,0.0013664
98,938.781,0.39939,0.31889,0.21851,0.0047,0.12621,1,0.95924,0.99306,0.96623,1,0.95924,0.99306,0.96871,0.30248,0.28866,0.1675,0.00739,0,0.0013598,0.0013598,0.0013598
99,948.103,0.38068,0.30917,0.20773,0.00422,0.1186,0.96642,1,0.994,0.98481,0.96642,1,0.994,0.9842,0.289,0.27992,0.16664,0.00649,0,0.0013532,0.0013532,0.0013532
100,957.35,0.42011,0.31994,0.22851,0.00493,0.1308,0.96597,1,0.995,0.95004,0.96597,1,0.995,0.96862,0.35935,0.27882,0.15669,0.00902,0,0.0013466,0.0013466,0.0013466
101,966.596,0.43396,0.32844,0.25916,0.0052,0.17051,1,0.92632,0.99113,0.94138,1,0.92632,0.99113,0.94285,0.38257,0.30191,0.17599,0.00962,0,0.00134,0.00134,0.00134
102,975.823,0.40179,0.27931,0.23792,0.00484,0.14486,1,0.99626,0.995,0.92846,1,0.99626,0.995,0.97308,0.45256,0.28492,0.18378,0.01261,0,0.0013334,0.0013334,0.0013334
103,985.095,0.3701,0.29545,0.20598,0.00446,0.1312,0.93481,0.98922,0.98484,0.96812,0.93481,0.98922,0.98484,0.96855,0.28622,0.2933,0.20466,0.00684,0,0.0013268,0.0013268,0.0013268
104,994.412,0.42006,0.33708,0.24717,0.0048,0.15455,0.99731,1,0.995,0.91408,0.99731,1,0.995,0.97483,0.45831,0.31993,0.14408,0.01179,0,0.0013202,0.0013202,0.0013202
105,1003.81,0.39962,0.29472,0.19782,0.00468,0.13395,0.92907,1,0.9897,0.94762,0.92907,1,0.9897,0.95653,0.34287,0.29098,0.2221,0.00855,0,0.0013136,0.0013136,0.0013136
106,1013.09,0.4064,0.31125,0.21831,0.00482,0.13367,0.99791,1,0.995,0.98244,0.99791,1,0.995,0.99285,0.25823,0.27937,0.08434,0.00607,0,0.001307,0.001307,0.001307
