epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
79,1188.4,0.85116,1.04404,0.45231,0.00323,0.36008,0.9842,0.94353,0.9896,0.82186,0.9842,0.94353,0.9896,0.79185,0.77894,1.11044,0.30312,0.00417,0,0.000713,0.000713,0.000713
80,1202.92,0.81448,0.91327,0.38185,0.00311,0.32422,0.97728,0.97769,0.99396,0.84653,0.97728,0.97769,0.99396,0.79791,0.69216,1.1064,0.27379,0.00359,0,0.0006965,0.0006965,0.0006965
81,1217.82,0.83741,0.94032,0.44042,0.00321,0.35841,0.99224,0.95455,0.993,0.82565,0.99224,0.95455,0.993,0.78248,0.7649,1.08878,0.27451,0.00404,0,0.00068,0.00068,0.00068
82,1232.31,0.80591,0.94863,0.4132,0.00291,0.3066,0.96941,0.97727,0.99166,0.82108,0.96941,0.97727,0.99166,0.79708,0.76564,1.07587,0.28316,0.00377,0,0.0006635,0.0006635,0.0006635
83,1246.83,0.82962,0.97186,0.43283,0.0031,0.33427,0.98447,0.96063,0.99223,0.82622,0.98447,0.96063,0.99223,0.7913,0.76321,1.05683,0.25136,0.00387,0,0.000647,0.000647,0.000647
84,1261.48,0.7539,0.86464,0.36689,0.00283,0.33248,0.95491,0.96261,0.99015,0.8471,0.95491,0.96261,0.99015,0.80002,0.68871,1.05601,0.24598,0.0035,0,0.0006305,0.0006305,0.0006305
85,1276.15,0.83285,0.91697,0.47439,0.00301,0.342,0.98612,0.95455,0.99035,0.85206,0.98612,0.95455,0.99035,0.79858,0.71042,1.07319,0.2676,0.00354,0,0.000614,0.000614,0.000614
86,1290.94,0.79675,0.96195,0.43232,0.00292,0.36477,0.97738,0.98189,0.99185,0.84979,0.97738,0.98189,0.99185,0.79367,0.68168,1.11082,0.25342,0.00358,0,0.0005975,0.0005975,0.0005975
87,1305.28,0.7851,0.95035,0.43531,0.00296,0.36876,0.97732,0.97915,0.9935,0.82396,0.97732,0.97915,0.9935,0.78304,0.75302,1.11613,0.25064,0.00395,0,0.000581,0.000581,0.000581
88,1319.52,0.82352,0.93628,0.44744,0.00302,0.35922,0.95636,0.99622,0.99335,0.84129,0.95636,0.99622,0.99335,0.79363,0.68651,1.09626,0.22589,0.00359,0,0.0005645,0.0005645,0.0005645
89,1333.88,0.77837,0.91465,0.40336,0.00288,0.31885,0.9716,0.96212,0.99263,0.84388,0.9716,0.96212,0.99263,0.8022,0.68158,1.08148,0.22075,0.00352,0,0.000548,0.000548,0.000548
90,1348.27,0.75342,0.86472,0.38814,0.00295,0.34393,0.96985,0.97477,0.9921,0.8493,0.96985,0.97477,0.9921,0.80215,0.68582,1.06726,0.236,0.00364,0,0.0005315,0.0005315,0.0005315
91,1363.22,0.7715,0.94006,0.42457,0.00311,0.35006,0.983,0.94697,0.99182,0.85486,0.983,0.94697,0.99182,0.79354,0.63787,1.05969,0.23714,0.00328,0,0.000515,0.000515,0.000515
92,1377.97,0.75959,0.9131,0.39347,0.00285,0.36878,0.98407,0.93581,0.99002,0.84575,0.98407,0.93581,0.99002,0.80168,0.67903,1.04732,0.25188,0.00348,0,0.0004985,0.0004985,0.0004985
93,1392.58,0.75962,0.81718,0.38821,0.00289,0.33049,0.95944,0.96212,0.9907,0.85028,0.95944,0.96212,0.9907,0.80408,0.64285,1.07872,0.2384,0.00334,0,0.000482,0.000482,0.000482
94,1407.6,0.75937,0.87338,0.40471,0.00275,0.38943,0.97552,0.93182,0.98998,0.85335,0.97552,0.93182,0.98998,0.80722,0.6592,1.05267,0.24348,0.00342,0,0.0004655,0.0004655,0.0004655
95,1422.65,0.7533,0.86351,0.40428,0.00287,0.3139,0.96561,0.96212,0.98979,0.86039,0.96561,0.96212,0.98979,0.79722,0.64359,1.07979,0.24032,0.00331,0,0.000449,0.000449,0.000449
96,1437.67,0.78732,0.91844,0.4634,0.00302,0.38869,0.97643,0.9417,0.99094,0.85316,0.97643,0.9417,0.99094,0.78874,0.63765,1.09552,0.22633,0.00327,0,0.0004325,0.0004325,0.0004325
97,1452.33,0.75043,0.87594,0.38715,0.0028,0.37189,0.94894,0.98555,0.99268,0.86124,0.94894,0.98555,0.99268,0.79582,0.63294,1.0847,0.21253,0.0033,0,0.000416,0.000416,0.000416
98,1466.91,0.70278,0.80102,0.34299,0.00268,0.29255,0.98482,0.98267,0.99354,0.85655,0.98482,0.98267,0.99354,0.81716,0.6661,1.06995,0.21063,0.0034,0,0.0003995,0.0003995,0.0003995
99,1481.78,0.76791,0.86459,0.40187,0.00282,0.3305,0.96788,0.99242,0.99336,0.84877,0.96788,0.99242,0.99336,0.80999,0.67663,1.07162,0.20806,0.00349,0,0.000383,0.000383,0.000383
100,1496.39,0.72457,0.85749,0.39492,0.00263,0.35733,0.97738,0.98204,0.99387,0.85201,0.97738,0.98204,0.99387,0.79322,0.64894,1.08111,0.20769,0.00333,0,0.0003665,0.0003665,0.0003665
101,1510.88,0.70717,0.83389,0.36729,0.00264,0.30721,0.97027,0.98886,0.99372,0.84341,0.97027,0.98886,0.99372,0.8093,0.68707,1.07914,0.22215,0.00358,0,0.00035,0.00035,0.00035
102,1525.75,0.77576,0.87555,0.37606,0.00285,0.34331,0.98197,0.98485,0.99252,0.85994,0.98197,0.98485,0.99252,0.78796,0.63689,1.0769,0.2134,0.00331,0,0.0003335,0.0003335,0.0003335
103,1540.44,0.71881,0.84859,0.37292,0.00268,0.32885,0.94824,0.97157,0.99052,0.86549,0.94824,0.97157,0.99052,0.80895,0.62859,1.06925,0.22728,0.00326,0,0.000317,0.000317,0.000317
104,1555.5,0.73343,0.85108,0.448,0.00263,0.39123,0.95512,0.97727,0.99232,0.86594,0.95512,0.97727,0.99232,0.79841,0.62277,1.08566,0.21766,0.00327,0,0.0003005,0.0003005,0.0003005
105,1570.17,0.72745,0.84795,0.40297,0.00262,0.34763,0.97237,0.96212,0.99193,0.85464,0.97237,0.96212,0.99193,0.80908,0.62264,1.08555,0.22699,0.0033,0,0.000284,0.000284,0.000284
106,1584.76,0.72437,0.85553,0.39108,0.00264,0.30584,0.98416,0.94147,0.9919,0.86233,0.98416,0.94147,0.9919,0.81086,0.61562,1.06731,0.21728,0.00321,0,0.0002675,0.0002675,0.0002675
107,1599.79,0.73054,0.83868,0.3773,0.00257,0.34351,0.98435,0.95285,0.993,0.85956,0.98435,0.95285,0.993,0.80397,0.63131,1.05768,0.20936,0.00337,0,0.000251,0.000251,0.000251
108,1614.82,0.74159,0.88039,0.40953,0.00266,0.35378,0.94839,0.97444,0.99197,0.85744,0.94839,0.97444,0.99197,0.80892,0.63256,1.0636,0.21987,0.00328,0,0.0002345,0.0002345,0.0002345
